timestamp;netzbezug;akkuLadung;solarleistung;hausabgabe;akkuLadestand;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-12-24T00:00:00;197.0;0.0;0.0;0.0;241.0;197.0;0.0;0.0;0.0;0;197.0;197.0;197.0;0.0;268;241.0
2025-12-24T00:02:02.457478;205.0;0.0;0.0;0.0;241.0;205.0;0.0;0.0;0.0;0.0;0;205.0;0.0;205.0;268;268
2025-12-24T00:06:29.478704;203.0;0.0;0.0;0.0;241.0;203.0;0.0;0.0;0.0;0.0;0;203.0;0.0;203.0;268;268.0
2025-12-24T00:11:29.456439;199.0;0.0;0.0;0.0;241.0;199.0;0.0;0.0;0.0;0.0;0;199.0;0.0;199.0;268;268.0
2025-12-24T00:16:55.454850;181.0;0.0;0.0;0.0;241.0;181.0;0.0;0.0;0.0;0.0;0;181.0;0.0;181.0;268;268.0
2025-12-24T00:21:55.470418;183.0;0.0;0.0;0.0;241.0;183.0;0.0;0.0;0.0;0.0;0;183.0;0.0;183.0;268;268.0
2025-12-24T00:27:21.474103;182.0;0.0;0.0;0.0;241.0;182.0;0.0;0.0;0.0;0.0;0;182.0;0.0;182.0;268;268.0
2025-12-24T00:32:21.494293;174.0;0.0;0.0;0.0;241.0;174.0;0.0;0.0;0.0;0.0;0;174.0;0.0;174.0;268;268.0
2025-12-24T00:37:47.461951;193.0;0.0;0.0;0.0;241.0;193.0;0.0;0.0;0.0;0.0;0;193.0;0.0;193.0;268;268.0
2025-12-24T00:41:47.454303;197.0;0.0;0.0;0.0;241.0;197.0;0.0;0.0;0.0;0.0;0;197.0;0.0;197.0;268;268.0
2025-12-24T00:47:13.506262;194.0;0.0;0.0;0.0;241.0;194.0;0.0;0.0;0.0;0.0;0;194.0;0.0;194.0;268;268.0
2025-12-24T00:52:13.482903;193.0;0.0;0.0;0.0;241.0;193.0;0.0;0.0;0.0;0.0;0;193.0;0.0;193.0;268;268.0
2025-12-24T00:57:39.498024;191.0;0.0;0.0;0.0;241.0;191.0;0.0;0.0;0.0;0.0;0;191.0;0.0;191.0;268;268.0
