timestamp;netzbezug;hausabgabe;solarleistung;akkuLadung;akkuEntladung;akkuLadestand;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-11-23T00:00:00.000+01:00;233;0;0;0;0;268;233;0;0;0;233;233;233;0;268;268
2025-11-23T00:04:57.582+01:00;2043;0;0;0;0;268;2043;0;0;0;0;2043;0;2043;268;268
2025-11-23T00:09:57.552+01:00;2055;0;0;0;0;268;2055;0;0;0;0;2055;0;2055;268;268
2025-11-23T00:14:23.553+01:00;2088;0;0;0;0;268;2088;0;0;0;0;2088;0;2088;268;268
2025-11-23T00:19:23.555+01:00;283;0;0;0;0;268;283;0;0;0;0;283;0;283;268;268
2025-11-23T00:24:49.578+01:00;258;0;0;0;0;268;258;0;0;0;0;258;0;258;268;268
2025-11-23T00:29:49.588+01:00;245;0;0;0;0;268;245;0;0;0;0;245;0;245;268;268
2025-11-23T00:35:17.576+01:00;246;0;0;0;0;268;246;0;0;0;0;246;0;246;268;268
2025-11-23T00:40:17.568+01:00;256;0;0;0;0;268;256;0;0;0;0;256;0;256;268;268
2025-11-23T00:45:43.567+01:00;251;0;0;0;0;268;251;0;0;0;0;251;0;251;268;268
2025-11-23T00:49:43.556+01:00;226;0;0;0;0;268;226;0;0;0;0;226;0;226;268;268
2025-11-23T00:55:09.385+01:00;232;0;0;0;0;268;232;0;0;0;0;232;0;232;268;268
2025-11-23T01:00:09.555+01:00;227;0;0;0;0;268;227;0;0;0;0;227;0;227;268;268
2025-11-23T01:05:35.399+01:00;228;0;0;0;0;268;228;0;0;0;0;228;0;228;268;268
2025-11-23T01:09:35.576+01:00;213;0;0;0;0;268;213;0;0;0;0;213;0;213;268;268
2025-11-23T01:14:35.550+01:00;2094;0;0;0;0;268;2094;0;0;0;0;2094;0;2094;268;268
2025-11-23T01:20:02.637+01:00;248;0;0;0;0;268;248;0;0;0;0;248;0;248;268;268
2025-11-23T01:25:03.553+01:00;246;0;0;0;0;268;246;0;0;0;0;246;0;246;268;268
2025-11-23T01:30:29.575+01:00;237;0;0;0;0;268;237;0;0;0;0;237;0;237;268;268
2025-11-23T01:35:30.553+01:00;227;0;0;0;0;268;227;0;0;0;0;227;0;227;268;268
2025-11-23T01:39:57.559+01:00;207;0;0;0;0;268;207;0;0;0;0;207;0;207;268;268
2025-11-23T01:44:57.564+01:00;186;0;0;0;0;268;186;0;0;0;0;186;0;186;268;268
2025-11-23T01:50:23.564+01:00;191;0;0;0;0;268;191;0;0;0;0;191;0;191;268;268
2025-11-23T01:55:23.550+01:00;187;0;0;0;0;268;187;0;0;0;0;187;0;187;268;268
2025-11-23T02:00:49.605+01:00;210;0;0;0;0;268;210;0;0;0;0;210;0;210;268;268
2025-11-23T02:05:50.549+01:00;215;0;0;0;0;268;215;0;0;0;0;215;0;215;268;268
2025-11-23T02:10:16.550+01:00;206;0;0;0;0;268;206;0;0;0;0;206;0;206;268;268
2025-11-23T02:15:16.554+01:00;204;0;0;0;0;268;204;0;0;0;0;204;0;204;268;268
2025-11-23T02:20:42.568+01:00;207;0;0;0;0;268;207;0;0;0;0;207;0;207;268;268
2025-11-23T02:25:42.565+01:00;210;0;0;0;0;268;210;0;0;0;0;210;0;210;268;268
2025-11-23T02:30:08.551+01:00;206;0;0;0;0;268;206;0;0;0;0;206;0;206;268;268
2025-11-23T02:35:08.548+01:00;192;0;0;0;0;268;192;0;0;0;0;192;0;192;268;268
2025-11-23T02:40:34.574+01:00;186;0;0;0;0;268;186;0;0;0;0;186;0;186;268;268
2025-11-23T02:45:34.575+01:00;212;0;0;0;0;268;212;0;0;0;0;212;0;212;268;268
2025-11-23T02:51:02.664+01:00;189;0;0;0;0;268;189;0;0;0;0;189;0;189;268;268
2025-11-23T02:56:03.553+01:00;188;0;0;0;0;268;188;0;0;0;0;188;0;188;268;268
2025-11-23T03:01:37.553+01:00;208;0;0;0;0;268;208;0;0;0;0;208;0;208;268;268
2025-11-23T03:05:37.553+01:00;211;0;0;0;0;268;211;0;0;0;0;211;0;211;268;268
2025-11-23T03:11:04.414+01:00;212;0;0;0;0;268;212;0;0;0;0;212;0;212;268;268
2025-11-23T03:16:04.545+01:00;208;0;0;0;0;268;208;0;0;0;0;208;0;208;268;268
2025-11-23T03:21:30.408+01:00;205;0;0;0;0;268;205;0;0;0;0;205;0;205;268;268
2025-11-23T03:25:30.552+01:00;206;0;0;0;0;268;206;0;0;0;0;206;0;206;268;268
2025-11-23T03:30:30.550+01:00;215;0;0;0;0;268;215;0;0;0;0;215;0;215;268;268
2025-11-23T03:35:56.557+01:00;206;0;0;0;0;268;206;0;0;0;0;206;0;206;268;268
2025-11-23T03:40:56.623+01:00;187;0;0;0;0;268;187;0;0;0;0;187;0;187;268;268
2025-11-23T03:46:23.558+01:00;186;0;0;0;0;268;186;0;0;0;0;186;0;186;268;268
2025-11-23T03:51:23.635+01:00;211;0;0;0;0;268;211;0;0;0;0;211;0;211;268;268
2025-11-23T03:55:50.569+01:00;210;0;0;0;0;268;210;0;0;0;0;210;0;210;268;268
2025-11-23T04:00:50.550+01:00;206;0;0;0;0;268;206;0;0;0;0;206;0;206;268;268
2025-11-23T04:06:16.566+01:00;204;0;0;0;0;268;204;0;0;0;0;204;0;204;268;268
2025-11-23T04:11:17.548+01:00;241;0;0;0;0;268;241;0;0;0;0;241;0;241;268;268
2025-11-23T04:16:43.573+01:00;185;0;0;0;0;268;185;0;0;0;0;185;0;185;268;268
2025-11-23T04:21:43.577+01:00;186;0;0;0;0;268;186;0;0;0;0;186;0;186;268;268
2025-11-23T04:26:09.549+01:00;194;0;0;0;0;268;194;0;0;0;0;194;0;194;268;268
2025-11-23T04:31:09.551+01:00;186;0;0;0;0;268;186;0;0;0;0;186;0;186;268;268
2025-11-23T04:36:35.704+01:00;187;0;0;0;0;268;187;0;0;0;0;187;0;187;268;268
2025-11-23T04:41:36.563+01:00;185;0;0;0;0;268;185;0;0;0;0;185;0;185;268;268
2025-11-23T04:46:02.569+01:00;184;0;0;0;0;268;184;0;0;0;0;184;0;184;268;268
2025-11-23T04:51:02.550+01:00;205;0;0;0;0;268;205;0;0;0;0;205;0;205;268;268
2025-11-23T04:56:28.559+01:00;206;0;0;0;0;268;206;0;0;0;0;206;0;206;268;268
2025-11-23T05:01:28.638+01:00;202;0;0;0;0;268;202;0;0;0;0;202;0;202;268;268
2025-11-23T05:06:55.588+01:00;204;0;0;0;0;268;204;0;0;0;0;204;0;204;268;268
2025-11-23T05:11:55.564+01:00;202;0;0;0;0;268;202;0;0;0;0;202;0;202;268;268
2025-11-23T05:17:21.566+01:00;205;0;0;0;0;268;205;0;0;0;0;205;0;205;268;268
2025-11-23T05:21:21.553+01:00;207;0;0;0;0;268;207;0;0;0;0;207;0;207;268;268
2025-11-23T05:26:47.474+01:00;204;0;0;0;0;268;204;0;0;0;0;204;0;204;268;268
2025-11-23T05:31:48.566+01:00;201;0;0;0;0;268;201;0;0;0;0;201;0;201;268;268
2025-11-23T05:37:14.397+01:00;183;0;0;0;0;268;183;0;0;0;0;183;0;183;268;268
2025-11-23T05:42:14.556+01:00;204;0;0;0;0;268;204;0;0;0;0;204;0;204;268;268
2025-11-23T05:47:40.379+01:00;185;0;0;0;0;268;185;0;0;0;0;185;0;185;268;268
2025-11-23T05:51:40.556+01:00;183;0;0;0;0;268;183;0;0;0;0;183;0;183;268;268
2025-11-23T05:56:40.554+01:00;187;0;0;0;0;268;187;0;0;0;0;187;0;187;268;268
2025-11-23T06:02:06.543+01:00;185;0;0;0;0;268;185;0;0;0;0;185;0;185;268;268
2025-11-23T06:07:06.553+01:00;186;0;0;0;0;268;186;0;0;0;0;186;0;186;268;268
2025-11-23T06:17:32.572+01:00;209;0;0;0;0;268;209;0;0;0;0;209;0;209;268;268
2025-11-23T06:21:59.557+01:00;207;0;0;0;0;268;207;0;0;0;0;207;0;207;268;268
2025-11-23T06:26:59.563+01:00;205;0;0;0;0;268;205;0;0;0;0;205;0;205;268;268
2025-11-23T06:32:26.554+01:00;319;0;0;0;0;268;319;0;0;0;0;319;0;319;268;268
2025-11-23T06:37:26.552+01:00;205;0;0;0;0;268;205;0;0;0;0;205;0;205;268;268
2025-11-23T06:41:52.561+01:00;207;0;0;0;0;268;207;0;0;0;0;207;0;207;268;268
2025-11-23T06:46:53.553+01:00;215;0;0;0;0;268;215;0;0;0;0;215;0;215;268;268
2025-11-23T06:52:19.559+01:00;205;0;0;0;0;268;205;0;0;0;0;205;0;205;268;268
2025-11-23T06:57:19.555+01:00;193;0;0;0;0;268;193;0;0;0;0;193;0;193;268;268
2025-11-23T07:02:45.564+01:00;186;0;0;0;0;268;186;0;0;0;0;186;0;186;268;268
2025-11-23T07:07:45.564+01:00;185;0;0;0;0;268;185;0;0;0;0;185;0;185;268;268
2025-11-23T07:12:11.560+01:00;195;0;0;0;0;268;195;0;0;0;0;195;0;195;268;268
2025-11-23T07:17:11.565+01:00;192;0;0;0;0;268;192;0;0;0;0;192;0;192;268;268
2025-11-23T07:22:37.570+01:00;215;0;0;0;0;268;215;0;0;0;0;215;0;215;268;268
2025-11-23T07:27:37.568+01:00;217;0;0;0;0;268;217;0;0;0;0;217;0;217;268;268
2025-11-23T07:33:03.569+01:00;230;0;0;0;0;268;230;0;0;0;0;230;0;230;268;268
2025-11-23T07:38:03.602+01:00;226;0;0;0;0;268;226;0;0;0;0;226;0;226;268;268
2025-11-23T07:43:29.578+01:00;344;0;0;0;0;268;344;0;0;0;0;344;0;344;268;268
2025-11-23T07:47:31.632+01:00;1678;0;0;0;0;268;1678;0;0;0;0;1678;0;1678;268;268
2025-11-23T07:52:58.397+01:00;1645;0;0;0;0;268;1645;0;0;0;0;1645;0;1645;268;268
2025-11-23T07:57:58.577+01:00;1645;0;5;0;0;268;1645;10;10;0;0;1635;10;1635;268;268
2025-11-23T07:57:58.579+01:00;1645;5;5;0;0;268;1650;10;10;0;0;1640;10;1640;268;268
2025-11-23T07:57:58.585+01:00;272;5;5;0;0;268;277;10;10;0;0;267;10;267;268;268
2025-11-23T08:03:24.395+01:00;272;5;13;0;0;268;277;26;26;0;0;251;26;251;268;268
2025-11-23T08:03:24.396+01:00;272;13;13;0;0;268;285;26;26;0;0;259;26;259;268;268
2025-11-23T08:03:24.398+01:00;1240;13;13;0;0;268;1253;26;26;0;0;1227;26;1227;268;268
2025-11-23T08:07:24.570+01:00;1240;13;16;0;0;268;1253;32;32;0;0;1221;32;1221;268;268
2025-11-23T08:07:24.571+01:00;1240;16;16;0;0;268;1256;32;32;0;0;1224;32;1224;268;268
2025-11-23T08:07:24.577+01:00;1573;16;16;0;0;268;1589;32;32;0;0;1557;32;1557;268;268
2025-11-23T08:12:25.595+01:00;1573;16;19;0;0;268;1589;38;38;0;0;1551;38;1551;268;268
2025-11-23T08:12:25.601+01:00;1573;19;19;0;0;268;1592;38;38;0;0;1554;38;1554;268;268
2025-11-23T08:12:25.603+01:00;321;19;19;0;0;268;340;38;38;0;0;302;38;302;268;268
2025-11-23T08:17:51.562+01:00;321;19;38;0;0;268;340;76;76;0;0;264;76;264;268;268
2025-11-23T08:17:51.564+01:00;321;38;38;0;0;268;359;76;76;0;0;283;76;283;268;268
2025-11-23T08:17:51.570+01:00;967;38;38;0;0;268;1005;76;76;0;0;929;76;929;268;268
2025-11-23T08:19:51.559+01:00;967;38;47;0;0;268;1005;94;94;0;0;911;94;911;268;268
2025-11-23T08:19:51.560+01:00;967;47;47;0;0;268;1014;94;94;0;0;920;94;920;268;268
2025-11-23T08:19:51.566+01:00;228;47;47;0;0;268;275;94;94;0;0;181;94;181;268;268
2025-11-23T08:20:51.551+01:00;228;47;46;0;0;268;275;92;92;0;0;183;92;183;268;268
