timestamp;netzbezug;hausabgabe;solarleistung;akkuLadung;akkuEntladung;akkuLadestand;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-12-06T00:00:00.000+01:00;191;0;0;0;0;268;191;0;0;0;0;191;191;191;0;268;268
2025-12-06T00:00:20.495+01:00;190;0;0;0;0;268;190;0;0;0;0;0;190;0;190;268;268
2025-12-06T00:05:20.474+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T00:20:13.522+01:00;190;0;0;0;0;268;190;0;0;0;0;0;190;0;190;268;268
2025-12-06T00:25:13.610+01:00;192;0;0;0;0;268;192;0;0;0;0;0;192;0;192;268;268
2025-12-06T00:30:39.496+01:00;190;0;0;0;0;268;190;0;0;0;0;0;190;0;190;268;268
2025-12-06T00:35:39.470+01:00;189;0;0;0;0;268;189;0;0;0;0;0;189;0;189;268;268
2025-12-06T00:41:05.485+01:00;197;0;0;0;0;268;197;0;0;0;0;0;197;0;197;268;268
2025-12-06T00:45:05.473+01:00;189;0;0;0;0;268;189;0;0;0;0;0;189;0;189;268;268
2025-12-06T00:50:31.364+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T01:05:57.474+01:00;171;0;0;0;0;268;171;0;0;0;0;0;171;0;171;268;268
2025-12-06T01:25:49.475+01:00;194;0;0;0;0;268;194;0;0;0;0;0;194;0;194;268;268
2025-12-06T01:30:49.469+01:00;192;0;0;0;0;268;192;0;0;0;0;0;192;0;192;268;268
2025-12-06T01:41:15.470+01:00;191;0;0;0;0;268;191;0;0;0;0;0;191;0;191;268;268
2025-12-06T01:45:41.475+01:00;190;0;0;0;0;268;190;0;0;0;0;0;190;0;190;268;268
2025-12-06T01:50:41.477+01:00;188;0;0;0;0;268;188;0;0;0;0;0;188;0;188;268;268
2025-12-06T01:56:07.469+01:00;193;0;0;0;0;268;193;0;0;0;0;0;193;0;193;268;268
2025-12-06T02:01:07.468+01:00;173;0;0;0;0;268;173;0;0;0;0;0;173;0;173;268;268
2025-12-06T02:06:33.480+01:00;172;0;0;0;0;268;172;0;0;0;0;0;172;0;172;268;268
2025-12-06T02:11:33.469+01:00;177;0;0;0;0;268;177;0;0;0;0;0;177;0;177;268;268
2025-12-06T02:15:59.463+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T02:20:59.471+01:00;192;0;0;0;0;268;192;0;0;0;0;0;192;0;192;268;268
2025-12-06T02:31:25.469+01:00;188;0;0;0;0;268;188;0;0;0;0;0;188;0;188;268;268
2025-12-06T02:35:51.516+01:00;189;0;0;0;0;268;189;0;0;0;0;0;189;0;189;268;268
2025-12-06T02:40:51.477+01:00;191;0;0;0;0;268;191;0;0;0;0;0;191;0;191;268;268
2025-12-06T02:46:17.486+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T03:01:43.478+01:00;171;0;0;0;0;268;171;0;0;0;0;0;171;0;171;268;268
2025-12-06T03:07:09.485+01:00;172;0;0;0;0;268;172;0;0;0;0;0;172;0;172;268;268
2025-12-06T03:11:09.469+01:00;173;0;0;0;0;268;173;0;0;0;0;0;173;0;173;268;268
2025-12-06T03:16:35.378+01:00;171;0;0;0;0;268;171;0;0;0;0;0;171;0;171;268;268
2025-12-06T03:21:35.491+01:00;194;0;0;0;0;268;194;0;0;0;0;0;194;0;194;268;268
2025-12-06T03:32:01.471+01:00;198;0;0;0;0;268;198;0;0;0;0;0;198;0;198;268;268
2025-12-06T03:37:27.372+01:00;188;0;0;0;0;268;188;0;0;0;0;0;188;0;188;268;268
2025-12-06T03:41:27.469+01:00;189;0;0;0;0;268;189;0;0;0;0;0;189;0;189;268;268
2025-12-06T03:51:53.470+01:00;190;0;0;0;0;268;190;0;0;0;0;0;190;0;190;268;268
2025-12-06T03:56:53.469+01:00;169;0;0;0;0;268;169;0;0;0;0;0;169;0;169;268;268
2025-12-06T04:02:19.469+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T04:11:45.467+01:00;191;0;0;0;0;268;191;0;0;0;0;0;191;0;191;268;268
2025-12-06T04:16:45.507+01:00;192;0;0;0;0;268;192;0;0;0;0;0;192;0;192;268;268
2025-12-06T04:22:11.470+01:00;199;0;0;0;0;268;199;0;0;0;0;0;199;0;199;268;268
2025-12-06T04:27:11.473+01:00;189;0;0;0;0;268;189;0;0;0;0;0;189;0;189;268;268
2025-12-06T04:36:37.480+01:00;169;0;0;0;0;268;169;0;0;0;0;0;169;0;169;268;268
2025-12-06T04:47:04.463+01:00;177;0;0;0;0;268;177;0;0;0;0;0;177;0;177;268;268
2025-12-06T04:52:30.467+01:00;169;0;0;0;0;268;169;0;0;0;0;0;169;0;169;268;268
2025-12-06T05:01:56.492+01:00;168;0;0;0;0;268;168;0;0;0;0;0;168;0;168;268;268
2025-12-06T05:06:56.468+01:00;191;0;0;0;0;268;191;0;0;0;0;0;191;0;191;268;268
2025-12-06T05:12:22.488+01:00;192;0;0;0;0;268;192;0;0;0;0;0;192;0;192;268;268
2025-12-06T05:17:22.467+01:00;193;0;0;0;0;268;193;0;0;0;0;0;193;0;193;268;268
2025-12-06T05:22:48.484+01:00;189;0;0;0;0;268;189;0;0;0;0;0;189;0;189;268;268
2025-12-06T05:27:48.482+01:00;188;0;0;0;0;268;188;0;0;0;0;0;188;0;188;268;268
2025-12-06T05:33:14.512+01:00;190;0;0;0;0;268;190;0;0;0;0;0;190;0;190;268;268
2025-12-06T05:37:14.470+01:00;191;0;0;0;0;268;191;0;0;0;0;0;191;0;191;268;268
2025-12-06T05:42:40.376+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T05:47:40.468+01:00;174;0;0;0;0;268;174;0;0;0;0;0;174;0;174;268;268
2025-12-06T05:53:06.360+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T05:58:06.472+01:00;195;0;0;0;0;268;195;0;0;0;0;0;195;0;195;268;268
2025-12-06T06:03:32.379+01:00;191;0;0;0;0;268;191;0;0;0;0;0;191;0;191;268;268
2025-12-06T06:07:32.483+01:00;190;0;0;0;0;268;190;0;0;0;0;0;190;0;190;268;268
2025-12-06T06:17:58.471+01:00;188;0;0;0;0;268;188;0;0;0;0;0;188;0;188;268;268
2025-12-06T06:22:58.478+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T06:27:24.471+01:00;172;0;0;0;0;268;172;0;0;0;0;0;172;0;172;268;268
2025-12-06T06:32:24.476+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T06:53:16.473+01:00;171;0;0;0;0;268;171;0;0;0;0;0;171;0;171;268;268
2025-12-06T06:57:42.482+01:00;191;0;0;0;0;268;191;0;0;0;0;0;191;0;191;268;268
2025-12-06T07:02:42.472+01:00;196;0;0;0;0;268;196;0;0;0;0;0;196;0;196;268;268
2025-12-06T07:08:08.486+01:00;190;0;0;0;0;268;190;0;0;0;0;0;190;0;190;268;268
2025-12-06T07:13:08.504+01:00;189;0;0;0;0;268;189;0;0;0;0;0;189;0;189;268;268
2025-12-06T07:23:34.470+01:00;191;0;0;0;0;268;191;0;0;0;0;0;191;0;191;268;268
2025-12-06T07:28:00.577+01:00;171;0;0;0;0;268;171;0;0;0;0;0;171;0;171;268;268
2025-12-06T07:33:00.469+01:00;181;0;0;0;0;268;181;0;0;0;0;0;181;0;181;268;268
2025-12-06T07:38:26.492+01:00;172;0;0;0;0;268;172;0;0;0;0;0;172;0;172;268;268
2025-12-06T07:48:52.523+01:00;193;0;0;0;0;268;193;0;0;0;0;0;193;0;193;268;268
2025-12-06T07:53:52.481+01:00;192;0;0;0;0;268;192;0;0;0;0;0;192;0;192;268;268
2025-12-06T07:59:18.483+01:00;187;0;0;0;0;268;187;0;0;0;0;0;187;0;187;268;268
2025-12-06T08:03:18.478+01:00;188;0;0;0;0;268;188;0;0;0;0;0;188;0;188;268;268
2025-12-06T08:08:44.386+01:00;171;0;0;0;0;268;171;0;0;0;0;0;171;0;171;268;268
2025-12-06T08:13:44.535+01:00;177;0;0;0;0;268;177;0;0;0;0;0;177;0;177;268;268
2025-12-06T08:19:10.381+01:00;171;0;0;0;0;268;171;0;0;0;0;0;171;0;171;268;268
2025-12-06T08:23:13.475+01:00;170;0;0;0;0;268;170;0;0;0;0;0;170;0;170;268;268
2025-12-06T08:28:13.482+01:00;170;0;7;0;0;268;170;14;14;0;0;0;156;14;156;268;268
2025-12-06T08:28:13.484+01:00;170;7;7;0;0;268;177;14;14;0;0;0;163;14;163;268;268
2025-12-06T08:28:13.491+01:00;165;7;7;0;0;268;172;14;14;0;0;0;158;14;158;268;268
2025-12-06T08:33:39.480+01:00;165;7;8;0;0;268;172;16;16;0;0;0;156;16;156;268;268
2025-12-06T08:33:39.482+01:00;165;8;8;0;0;268;173;16;16;0;0;0;157;16;157;268;268
2025-12-06T08:38:39.482+01:00;165;8;7;0;0;268;173;14;14;0;0;0;159;14;159;268;268
2025-12-06T08:38:39.484+01:00;165;7;7;0;0;268;172;14;14;0;0;0;158;14;158;268;268
