datum;real;normiert;delta;sz01;sz01_delta;sz02;sz02_delta;sz03;sz03_delta;sz04;sz04_delta;sz05;sz05_delta;sz06;sz06_delta;sz07;sz07_delta;sz08;sz08_delta;sz09;sz09_delta;sz10;sz10_delta;sz11;sz11_delta
2025-12-01;6,53;6,33;0,19;4,81;1,71;6,33;0,19;6,33;0,19;4,81;1,71;4,81;1,71;6,32;0,20;4,81;1,72;6,32;0,20;6,32;0,20;4,81;1,72;4,81;1,72
2025-12-02;6,86;6,86;0,01;6,26;0,60;6,86;0,01;6,86;0,01;5,02;1,85;4,32;2,55;6,81;0,05;6,18;0,68;6,81;0,05;6,81;0,05;4,95;1,91;4,15;2,72
2025-12-03;8,24;8,22;0,02;7,89;0,35;8,22;0,02;8,22;0,02;7,89;0,35;7,76;0,48;8,22;0,02;7,89;0,35;8,22;0,02;8,22;0,02;7,89;0,35;7,89;0,35
2025-12-04;8,59;8,59;0,00;8,28;0,32;8,59;0,00;8,59;0,00;8,28;0,32;8,28;0,32;8,59;0,00;8,28;0,32;8,59;0,00;8,59;0,00;8,28;0,32;8,28;0,32
2025-12-05;6,02;5,98;0,04;5,37;0,65;5,98;0,04;5,98;0,04;5,37;0,65;5,37;0,65;5,98;0,04;5,36;0,66;5,98;0,04;5,98;0,04;5,36;0,66;5,36;0,66
2025-12-06;3,71;3,69;0,02;3,06;0,65;3,69;0,02;3,69;0,02;3,06;0,65;3,06;0,65;3,69;0,02;3,06;0,65;3,69;0,02;3,69;0,02;3,06;0,65;3,06;0,65
2025-12-07;5,59;5,56;0,02;4,99;0,59;5,56;0,02;5,56;0,02;4,99;0,59;4,99;0,59;5,56;0,02;4,99;0,59;5,56;0,02;5,56;0,02;4,99;0,59;4,99;0,59
2025-12-08;6,41;6,36;0,05;5,68;0,73;6,36;0,05;6,36;0,05;5,68;0,73;5,68;0,73;6,35;0,05;5,66;0,75;6,35;0,05;6,35;0,05;5,66;0,75;5,66;0,75
2025-12-09;7,15;7,24;-0,10;5,83;1,32;7,24;-0,10;7,24;-0,10;5,21;1,94;5,21;1,94;7,22;-0,07;5,69;1,46;7,22;-0,07;7,22;-0,07;4,79;2,36;4,79;2,36
2025-12-10;7,45;7,43;0,01;7,06;0,38;7,43;0,01;7,43;0,01;6,60;0,84;6,60;0,84;7,43;0,01;7,06;0,38;7,43;0,01;7,43;0,01;6,90;0,54;6,90;0,54
2025-12-11;7,12;6,89;0,23;5,22;1,90;6,89;0,23;6,89;0,23;5,10;2,02;5,10;2,02;6,96;0,16;5,14;1,98;6,96;0,16;6,96;0,16;5,04;2,08;5,04;2,08
2025-12-12;8,58;8,57;0,01;8,00;0,58;8,57;0,01;8,57;0,01;8,00;0,58;8,00;0,58;8,57;0,01;8,00;0,58;8,57;0,01;8,57;0,01;8,00;0,58;8,00;0,58
2025-12-13;7,70;7,58;0,12;7,27;0,44;7,58;0,12;7,58;0,12;7,27;0,44;7,27;0,44;7,58;0,12;7,27;0,44;7,58;0,12;7,58;0,12;7,27;0,44;7,27;0,44
2025-12-14;7,30;7,29;0,01;6,81;0,48;7,29;0,01;7,29;0,01;6,81;0,48;6,81;0,48;7,29;0,01;6,78;0,52;7,29;0,01;7,29;0,01;6,78;0,52;6,78;0,52
2025-12-15;6,50;6,46;0,04;5,74;0,76;6,46;0,04;6,46;0,04;5,74;0,76;5,74;0,76;6,46;0,04;5,70;0,79;6,46;0,04;6,46;0,04;5,70;0,79;5,70;0,79
2025-12-16;6,83;6,81;0,02;6,18;0,66;6,81;0,02;6,81;0,02;6,18;0,66;6,18;0,66;6,81;0,02;6,12;0,71;6,81;0,02;6,81;0,02;6,12;0,71;6,12;0,71
2025-12-17;7,05;6,99;0,06;5,80;1,26;6,99;0,06;6,99;0,06;5,39;1,67;5,39;1,67;6,94;0,12;5,67;1,38;6,94;0,12;6,94;0,12;5,15;1,90;5,15;1,90
2025-12-18;4,79;4,79;0,00;3,48;1,31;4,79;0,00;4,79;0,00;2,75;2,04;2,75;2,04;4,79;0,01;3,39;1,40;4,79;0,01;4,79;0,01;2,78;2,02;2,78;2,02
2025-12-19;7.20;7.19;0.01;6.57;0.64;7.19;0.01;7.19;0.01;6.03;1.18;6.03;1.18;7.19;0.01;6.57;0.64;7.19;0.01;7.19;0.01;6.07;1.13;6.07;1.13
2025-12-20;6.68;6.56;0.12;5.38;1.30;6.56;0.12;6.56;0.12;5.38;1.30;5.38;1.30;6.54;0.14;5.38;1.30;6.54;0.14;6.54;0.14;5.38;1.30;5.38;1.30
2025-12-21;7.56;7.60;-0.03;6.07;1.49;7.60;-0.03;7.60;-0.03;5.35;2.22;5.35;2.22;7.59;-0.03;5.74;1.82;7.59;-0.03;7.59;-0.03;5.03;2.53;5.03;2.53
2025-12-22;10.28;10.27;0.01;9.92;0.36;10.27;0.01;10.27;0.01;9.74;0.54;9.74;0.54;10.27;0.01;9.92;0.36;10.27;0.01;10.27;0.01;9.92;0.36;9.92;0.36
